data_id,document,metadata
合并发展至今,1952年开始，全国高等学校进行大规模院系调整，中山大学工学院、农学院、医学院、教育学院调出，组建华南工学院（现华南理工大学）、华南农学院（现华南农业大学）、华南医学院（中山医科大学）、华南师范学院（现华南师范大学）；中山大学天文系由赵却民教授率领调往南京大学；中山大学地质系主任陈国达教授率领全系师生49人调去湖南中南矿冶学院（现中南大学）；中山大学哲学系由系主任朱谦之教授率领前往北京大学；中山大学人类学系由人类学系主任杨成志教授率领调往北京中央民族学院。分别于1952年10月16、17、20日前往南京、长沙、北京等地报到。1952年全国院系调整后，原中山大学文理院系与岭南大学文理院系合并，组成新的中山大学。新组建的中山大学由石牌迁入原岭南大学校址康乐园。中山大学原石牌校址，迁入了新组建的华南工学院、华南农学院等学校。中山大学原百子岗校址，兴办华南医学院。1952年11月25日，调整后的新的中山大学举行开学典礼。首次调整后的新中山大学，设有中文、外文、历史、语言、数学、物理、化学、生物、地理、财政、金融、会计、贸易、企业管理、政治、法律、社会、经济等18个系， 另有俄文、会计、金融、企业管理4个专修科，中国语言文学、历史、植物等3个研究所。1953年7月开始第二次院系调整。中山大学的财经、政法各系分别调至武汉大学、中南财经学院、中南政法学院等院校。同时对图书、仪器、设备等进行了调配。中山大学图书馆原藏有前华南联合大学及广东法商学院所藏财经政法图书资料，全部调配给中南财经学院、中南政法学院。1954年，将全国惟一的语言系由中山大学调整到北京大学，语言系主任王力教授带领全系师生48人整体迁出。中山大学植物研究所（现华南植物园）划归中国科学院管理。同时将原武汉大学、湖南大学、广西大学、南昌大学、华中师范学院、广东省立法商学院等院校部分有关科系师生调至中山大学。1981年11月，经国务院批准，中山大学成为全国首批有权授予博士、硕士学位的单位之一。1987年12月，国家教委批准中山大学岭南（大学）学院成立。1993年开始，教育部、卫生部和广东省人民政府共建中山大学。1997年，进入国家“211工程”序列。1999年，入选第一批国家大学生文化素质教育基地。2000年，中山大学与里昂第三大学展开合作，并于2005年签署两校校级框架合作协议，开展学生交换、联合培养、教师交流等项目。2012年，两校续签校级框架合作协议，并在此框架下签署两校学生交换协议、联合培养法语硕士研究生协议及法语专业本科生协议。2001年1月，进入国家“985工程”序列。2001年10月，原中山大学和中山医科大学合并组建新的中山大学。12月，首批获准试办国家示范性软件学院。2007年， 经教育部批准，成为研究生培养机制改革17所首批试点高校之一。2009年，中央组织部、教育部确定中山大学为首批全国干部教育培训高校基地。2010年，入选国家“珠峰计划”。2010年11月，中山大学医科成为教育部、卫生部首批共建高校医学院。2011年5月，被教育部评为全国毕业生就业典型经验高校。2015年7月，中山大学入选“全国高校实践育人创新创业基地”。 [10]11月3日，中山大学与深圳市政府举行共建世界一流大学战略合作协议签约仪式，中山大学深圳校区正式启动。深圳校区选址深圳市光明新区，占地面积约5000亩，是中山大学的主体校园之一，学校形成“三校区五校园”办学格局。2016年8月26日，福田人民医院正式纳入中山大学直属附属医院管理体系，并更名为中山大学附属第八医院。2017年9月，入选国家“双一流”建设高校。2018年1月，中山大学人文学科发展委员会和中山大学社科学科发展委员会成立。7月，国家国防科技工业局、教育部联合发文，确定“十三五”期间新增8所共建高校，中山大学位列其中。8月，中山大学农学院正式成立。11月，中山大学等9所“双一流”建设高校联合组建了医学“双一流”建设联盟。 [12-14]2019年2月，学校被教育部认定为首批高等学校科技成果转化和技术转移基地。5月，经国务院学位委员会批准，中山大学增列为学位授权自主审核单位。7月，首批入选中国高校行星科学联盟。9月，成为中国人工智能教育联席会创始成员、理事单位。2020年7月10日，中山大学成为粤港澳高校智慧校园联盟创始成员。10月，被国家知识产权局、 教育部确定为2020年度国家知识产权示范高校。10月29日，成为广东省高校港澳台侨学生管理研究联盟理事单位。2021年1月，首批加入中国自由贸易试验区研究院联盟。2月，中山大学入选第二轮国家“双一流”建设高校。 10月21日，中山大学与澳门大学、复旦大学、南开大学共同发起成立“中国旅游教育合作联盟”。11月12日，中山大学经济与管理学部成立，这是该校成立的首个学部，也意味着中山大学学部制改革正式启动。2023年1月，中山大学绿色化学与分子工程研究院揭牌成立。2月8日，中山大学-广州市疾病预防控制中心高水平公共卫生人才培养示范基地揭牌成立。3月28日，中山大学成立人文学部、社会科学学部、理学部、工学部、信息学部。至此，中山大学七大学部全部上线，标志着中山大学正式进入探索“学校—学部—院系”三级学术治理体系阶段。2023年4月7日，法国总统马克龙对中山大学进行了大约90分钟的访问。在中山大学南校园体育馆，马克龙举行与中国青年的见面会，作了简短演讲并回答学生提问。临别之时，马克龙留下感言，为中山大学题字：“感谢中山大学的友谊与信任。埃马纽埃尔?马克，2023年4月7日。” [79]2023年6月10日，中山大学极地环境立体观测与应用教育部重点实验室揭牌 [84]。8月12日，“世界卫生组织眼健康与视觉合作中心”在中山大学中山眼科中心正式启动 [91]。9月2日，中山大学创业学院揭牌仪式在中山大学深圳校区文学园举行 [92]。9月27日，中山大学对外公布，自2023年9月27日开始，社会公众可预约在周末、国家法定节假日参观校园。,"年份,大事记,"
经济与管理学部,岭南学院、管理学院、旅游学院、国际金融学院、商学院,"办学情况,院系专业"
人文学部,中国语言文学系、历史学系、哲学系、外国语学院、艺术学院、博雅学院、中国语言文学系（珠海）、历史学系（珠海）、哲学系（珠海）、国际翻译学院,"办学情况,院系专业,"
中山大学简介,中山大学（Sun Yat-sen University），简称“中大”，位于广东省，由中华人民共和国教育部直属，是教育部、国家国防科技工业局和广东省共建的综合性全国重点大学，位列国家“双一流”、“985工程”、“211工程”，入选国家“珠峰计划”、“111计划”、“2011计划”、卓越法律人才教育培养计划、卓越医生教育培养计划、国家大学生创新性实验计划、国家级大学生创新创业训练计划、国家建设高水平大学公派研究生项目、新工科研究与实践项目、全国深化创新创业教育改革示范高校、国家大学生文化素质教育基地、国家创新人才培养示范基地、国家国际科技合作基地、首批高等学校科技成果转化和技术转移基地、学位授权自主审核单位等，是环太平洋大学联盟、中国高校行星科学联盟、中国人工智能教育联席会、中国自由贸易试验区研究院联盟、大学通识教育联盟、粤港澳高校联盟、粤港澳大湾区物流与供应链创新联盟成员。  ,"简介,中山大学"
校史简介,"1924年，孙中山亲手将广州地区多所高校整合创立国立广东大学。1926年定名为国立中山大学。如今该校由1952年院系调整后分设的中山大学和中山医科大学于2001年10月合并而成。,","校名,校史,简介,发展史,改称,年份,大事记"
"办学情况,2023年","截至2023年5月，学校由广州、珠海、深圳三个校区、五个校园及十家附属医院组成；设有70个学院（系、部），有136个本科专业；有博士后科研流动站44个，一级学科博士点57个，一级学科硕士点64个，专业学位类别43种；有在校学生65965人，普通本科生33093人，硕士22617人，博士9647人，留学生608人；专任教师4970人。  ,","办学情况,学习资源,成就,截至,年份,大事记"
"创办时间,1924年",1924年（甲子年）,"创办时间,年份,大事记"
主管部门,中华人民共和国教育部,主管部门
学校官网,http://www.sysu.edu.cn,"学校官网,网址"
中文名,中山大学,"校名,中文名"
外文名,Sun Yat-sen University,"校名,外文名"
简称,中大、SYSU,"校名,简称"
办学性质,公办大学,办学性质
学校特色,"双一流（2017年、2022年,985工程,211工程,全国重点大学,环太平洋大学联盟","学校特色,年份,大事记"
专职院士数,中国科学院院士15人（含双聘5人） 中国工程院院士4人（含双聘1人）,专职院士数
硕士点学术学位授权一级学科数,64个,"硕士点,学术学位授权一级学科,数量"
专业学位授权类别,43种,专业学位授权类别
博士后科研流动站数,44个 ,博士后科研流动站
校训,博学 审问 慎思 明辨 笃行,校训
校庆日,11月12日,校庆日
广州校区北校园地址,广东省广州市越秀区中山二路74号（510080） ,"广州校区北校园,地址"
珠海校区地址,广东省珠海市香洲区唐家湾（519082） ,"珠海校区,地址"
主要奖项,"国家自然科学奖二等奖10项（截至2018年5月）,国家科学技术进步奖二等奖6项（截至2018年5月）,高等学校科学技术奖一等奖10项（截至2018年5月）,全国毕业生就业典型经验高校（2011年）","办学情况,学习资源,成就,截至,主要奖项,年份,大事记,"
格致书院,广州格致书院是十九世纪中国著名的教会学校，由美国长老会传教士哈巴安德医生1887年创办于广州，后发展为私立岭南大学，博济医院及其附设的医学校成为岭南大学医学院。1907年，格致书院改为岭南学堂，开设了医科。后来该学校成为岭南大学，而其医科成为圣约翰大学的一部分。,"校名,校史,发展史,格致书院,年份,大事记,"
国立中山大学,1924年2月邹鲁接管广东农业专门学校、广东法科大学两校之后，即于当月24日召集三校学生在广东高等师范学校礼堂举行大会，会上宣布筹建国立广东大学，并报告了筹备经过和进行计划等。3月3日，广东大学召开首次筹备会议，着重讨论并通过了国立广东大学筹备处组织大纲。为保证筹备工作的开展和国立广东大学的顺利开办，孙中山亲自动手筹措资金。1924年6月9日，孙中山任命邹鲁为国立广东大学首任校长。1924年6月21日，广东大学举行校长就职和学生毕业典礼，孙中山委托总参议胡汉民代表大元帅在会上宣读了训词：“学海汪洋，毓仁作圣，大学毕业，此其发轫。植基既固，建业立名，登峰造极，有志竟成。为社会福，为邦家光，勖哉诸君，努力自强。”孙中山亲笔题写校训：“博学、审问、慎思、明辨 、笃行”。国立广东大学定于1924年9月15日正式上课。当时，学校并没有举行开学典礼与成立典礼。后又经校务会议复议，将开学典礼及成立典礼日定于1924年11月11日这一日，也就成为国立广东大学的校庆日。1925年，“广东公立医科大学”“广东公立工业专门学校”并入国立中山大学。1925年3月12日，孙中山逝世后，廖仲恺提议将广东大学更名为中山大学，10月获国民政府批准。同年增设医科。其后，广东公立医科大学、国立广东法科学院、广东省立勷勤大学工学院先后并入。1926年3月，郭沫若就任文科学长，郁达夫任英国文学系主任。1926年7月17日正式更名为“国立中山大学”，成为广东最高学府。1926年8月17日，国民政府下令改校名为国立中山大学。国立广东大学改名后，国内出现多所以“中山”为名的大学，如武汉、杭州、南京、上海、兰州、西安等地。1928年2月间，以蔡元培先生为院长的大学院有鉴于此，决定除保留广州的国立中山大学以资纪念外，其余中山大学均改为所在地方名。1927年1月，鲁迅从厦门大学被聘至中大任文学系主任兼教务主任。8月，更名为“国立第一中山大学”。1928年3月，复名为“国立中山大学”。1931年，改文、法、理、农、医科为学院。先设立土木工程、机械工程、电机工程、化学工程四系，校址暂定于文明路，第二年迁往石牌新校址（即华南理工大学和华南农业大学校址内）。1935年，设立研究院，开始招收研究生，成为当时全国仅有的三所之一（是中国第一批成立“研究院”的三所高等院校之一）。1938年，设师范学院，理工学院增设建筑工程系。同年10月受到抗日战争的影响迁至云南澄江，1940年迁回粤北坪石。1945年1月，中大被迫进行抗战以来第三次迁校。坪石校本部师生先后撤往乐昌、仁化。据《国立中山大学滞留仁化员生概况》记载，由于仁化亦处于抗战前线，学校不久又择定校本部和研究院在龙川，师范学院在龙川龙母圩，理学院和工学院在兴宁东坝朱屋，农学院在五华歧岭，法学院在蕉岭路亭，文学院、医学院和先修班在梅县县城。后来，校本部、研究院、理学院紧急疏散到梅县。1945年，迁回广州石牌等原址复课，1947年设置体育系，袁浚从武汉大学被聘至中大任体育系主任。,"年份,大事记,"
中山大学经济与管理学部,岭南学院、管理学院、旅游学院、国际金融学院、商学院,"办学情况,院系专业"
医学部学院,中山医学院、公共卫生学院、药学院、护理学院、光华口腔医学院、医学院、公共卫生学院（深圳）、药学院（深圳）、附属第一医院、孙逸仙纪念医院、附属第三医院、中山眼科中心、肿瘤防治中心、附属口腔医院、附属第五医院、附属第六医院、附属第七医院、附属第八医院,"办学情况,院系专业,"
社会科学学部学院,社会学与人类学学院、政治与公共事务管理学院、法学院、马克思主义学院、心理学系、新闻传播学院、信息管理学院、国际关系学院、体育部、粤港澳发展研究院,"办学情况,院系专业,"
理学部学院,数学学院、物理学院、化学学院、生命科学学院、地理科学与规划学院、数学学院（珠海）、物理与天文学院、理学院、地球科学与工程学院、大气科学学院、海洋科学学院、生态学院、农学院,"办学情况,院系专业,"
工学部学院,化学工程与技术学院、材料科学与工程学院、环境科学与工程学院、系统科学与工程学院、中法核工程与技术学院、土木工程学院、测绘科学与技术学院、海洋工程与技术学院、航空航天学院、材料学院、智能工程学院、生物医学工程学院、先进能源学院、先进制造学院,"办学情况,院系专业,"
信息学部学院,计算机学院、电子与信息工程学院、微电子科学与技术学院、人工智能学院、软件工程学院、电子与通信工程学院、集成电路学院、网络空间安全学院,"办学情况,院系专业,"
中山大学中国语言文学系招生专业,汉语言文学,2022年本科招生专业
中山大学历史学系招生专业,历史学,2022年本科招生专业
中山大学哲学系招生专业,哲学类（哲学、逻辑学）,2022年本科招生专业
中山大学社会学与人类学学院招生专业,社会学类（社会学、人类学、考古学）,2022年本科招生专业
中山大学岭南学院招生专业,经济学类（经济学、金融学）,2022年本科招生专业
中山大学外国语学院招生专业,外国语言文学类（英语、德语、法语、日语）,2022年本科招生专业
中山大学法学院招生专业,法学,2022年本科招生专业
中山大学政治与公共事务管理学院招生专业,公共管理类（行政管理、政治学与行政学）,2022年本科招生专业
中山大学管理学院招生专业,工商管理类（工商管理、会计学）,2022年本科招生专业
中山大学心理学系招生专业,心理学,2022年本科招生专业
中山大学新闻传播学院招生专业,新闻传播学类（新闻学、传播学）,2022年本科招生专业
中山大学资讯管理学院招生专业,图书情报与档案管理类（信息管理与信息系统、图书馆学、档案学）,2022年本科招生专业
中山大学数学学院招生专业,数学类（数学与应用数学、统计学）,2022年本科招生专业
中山大学物理学院招生专业,物理学类：物理学、光电信息科学与工程（理学）,2022年本科招生专业
中山大学化学学院招生专业,化学类（化学、高分子材料与工程）,2022年本科招生专业
中山大学地理科学与规划学院招生专业,地理科学类（自然地理与资源环境、人文地理与城乡规划、地理信息科学、地理科学、城乡规划）,2022年本科招生专业
中山大学生命科学学院招生专业,生物科学类（生物科学、生物技术、生态学）,2022年本科招生专业
中山大学材料科学与工程学院招生专业,材料类（材料物理、材料化学、高分子材料与工程）,2022年本科招生专业
中山大学电子与信息工程学院（微电子学院）招生专业,电子信息类：通信工程、微电子科学与工程、光电信息科学与工程（工学）,2022年本科招生专业
中山大学计算机学院（国家保密学院）招生专业,计算机类（计算机科学与技术、信息与计算科学、保密管理）,2022年本科招生专业
中山大学环境科学与工程学院招生专业,环境科学与工程类（环境科学、环境工程）,2022年本科招生专业
中山大学中山医学院招生专业,临床医学（八年制）,2022年本科招生专业
中山大学光华口腔医学院招生专业,口腔医学,2022年本科招生专业
中山大学公共卫生学院招生专业,预防医学,2022年本科招生专业
中山大学药学院招生专业,药学,2022年本科招生专业
中山大学护理学院招生专业,护理学,2022年本科招生专业
中山大学中国语言文学系（珠海）招生专业,汉语言文学,2022年本科招生专业
中山大学历史学系（珠海）招生专业,历史学,2022年本科招生专业
中山大学哲学系（珠海）招生专业,哲学,2022年本科招生专业
中山大学国际金融学院招生专业,经济学类（经济学、金融学）,2022年本科招生专业
中山大学国际翻译学院招生专业,外国语言文学类（英语、阿拉伯语、西班牙语、朝鲜语、俄语）,2022年本科招生专业
中山大学国际关系学院招生专业,国际政治,2022年本科招生专业
中山大学旅游学院招生专业,旅游管理类（旅游管理、会展经济与管理）,2022年本科招生专业
中山大学数学学院（珠海）招生专业,数学类（数学与应用数学、信息与计算科学）,2022年本科招生专业
中山大学物理与天文学院招生专业,物理学类（物理学、天文学）,2022年本科招生专业
中山大学大气科学学院招生专业,大气科学类（大气科学、应用气象学）,2022年本科招生专业
中山大学海洋科学学院招生专业,海洋科学,2022年本科招生专业
中山大学地球科学与工程学院招生专业,地质学类（地质学、地球物理学、地质工程）,2022年本科招生专业
中山大学化学工程与技术学院招生专业,化学工程与工艺,2022年本科招生专业
中山大学海洋工程与技术学院招生专业,海洋工程与技术,2022年本科招生专业
中山大学中法核工程与技术学院招生专业,核工程与核技术（普通班、中法合作办学）,2022年本科招生专业
中山大学土木工程学院招生专业,土木、水利与海洋工程,2022年本科招生专业
中山大学微电子科学与技术学院招生专业,微电子科学与工程,2022年本科招生专业
中山大学测绘科学与技术学院招生专业,遥感科学与技术,2022年本科招生专业
中山大学人工智能学院招生专业,人工智能,2022年本科招生专业
中山大学软件工程学院招生专业,软件工程,2022年本科招生专业
中山大学医学院招生专业,临床医学,2022年本科招生专业
中山大学公共卫生学院（深圳）招生专业,预防医学,2022年本科招生专业
中山大学药学院（深圳）招生专业,药学,2022年本科招生专业
中山大学材料学院招生专业,材料科学与工程,2022年本科招生专业
中山大学生物医学工程学院招生专业,生物医学工程,2022年本科招生专业
中山大学电子与通信工程学院招生专业,电子信息类（电子信息科学与技术、通信工程）,2022年本科招生专业
中山大学智能工程学院招生专业,计算机类（智能科学与技术、交通工程）,2022年本科招生专业
中山大学航空航天学院招生专业,航空航天类（航空航天工程、理论与应用力学）,2022年本科招生专业
中山大学农学院招生专业,农学,2022年本科招生专业
中山大学生态学院招生专业,生态学,2022年本科招生专业
中山大学集成电路学院招生专业,微电子科学与工程,2022年本科招生专业
中山大学先进制造学院招生专业,机械工程,2022年本科招生专业
中山大学先进能源学院招生专业,能源与动力工程,2022年本科招生专业
中山大学网络空间安全学院招生专业,网络空间安全,2022年本科招生专业
中山大学商学院招生专业,经济学,2022年本科招生专业
中山大学理学院招生专业,物理学,2022年本科招生专业
中山大学艺术学院招生专业,音乐表演（艺术类）,2022年本科招生专业
中山大学附属医院,"中山大学附属第一医院,中山大学孙逸仙纪念医院,中山大学附属第三医院,中山大学中山眼科中心（眼科医院、眼科研究所）,中山大学肿瘤防治中心（肿瘤医院、肿瘤研究所）,中山大学附属口腔医院,中山大学附属第五医院,中山大学附属第六医院,中山大学附属第七医院（深圳）,中山大学附属第八医院（深圳福田）,",中山大学附属医院
学科情况,截至2023年5月，学校有57个博士学位授权一级学科点，1个博士学位授权二级学科点（不含一级学科覆盖点），64个硕士学位授权一级学科点，4个硕士学位授权二级学科点（不含一级学科覆盖点），5个博士专业学位类别，43个硕士专业学位类别，44个博士后科研流动站；有一级学科国家重点学科2个，二级学科国家重点学科23个，国家重点（培育）学科6个：有广东省重点学科37个，其中攀峰重点学科20个、优势重点学科17个。2017年9月，中山大学入选国家世界一流学科建设学科11个，广东省重点学科37个（包括攀峰重点学科20个、优势重点学科17个）。,"学科,学科情况,成就,学科点"
博士后科研流动站,生物学、物理学、基础医学、化学、数学、临床医学、工商管理、中国史、中国语言文学、环境科学与工程、哲学、公共管理、公共卫生与预防医学、理论经济学、口腔医学、药学、力学、计算机科学与技术、海洋科学、地理学、外国语言文学、社会学、马克思主义理论、信息与通信工程、材料科学与工程、光学工程、大气科学、心理学、政治学、应用经济学、统计学、生态学、世界史、考古学、图书情报与档案管理、管理科学与工程、生物医学工程、民族学、法学、地质学、特种医学、地球物理学、电子科学与技术、水利工程、网络空间安全,"博士后科研流动站,专业"
一级学科博士学位授权点,哲学、理论经济学、应用经济学、法学、政治学、社会学、民族学、马克思主义理论、心理学、中国语言文学、外国语言文学、新闻传播学、考古学、中国史、世界史、数学、物理学、化学、地理学、大气科学、海洋科学、地球物理学、地质学、生物学、生态学、统计学、天文学、力学、光学工程、材料科学与工程、电子科学与技术、信息与通信工程、计算机科学与技术、土木工程、水利工程、化学工程与技术、环境科学与工程、生物医学工程、软件工程、网络空间安全、核科学与技术、控制科学与工程、航空宇航科学与技术、基础医学、临床医学、口腔医学、公共卫生与预防医学、中西医结合、药学、特种医学、医学技术、护理学、管理科学与工程、工商管理、公共管理、图书情报与档案管理、集成电路科学与工程,"一级学科博士学位授权点,专业,学科"
二级学科博士学位授权点,农业昆虫与害虫防治,"二级学科博士学位授权点,专业,学科"
一级学科硕士学位授权点,"哲学、理论经济学、应用经济学、法学、政治学、社会学、民族学、马克思主义理论、心理学、中国语言文学、外国语言文学、新闻传播学、考古学、中国史、世界史、数学、物理学、化学、地理学、大气科学、海洋科学、地质学、生物学、生态学、统计学、力学、光学工程、材料科学与工程、信息与通信工程、计算机科学与技术、水利工程、化学工程与技术、交通运输工程、核科学与技术、环境科学与工程、生物医学工程、软件工程、网络空间安全、植物保护、基础医学、临床医学、口腔医学、公共卫生与预防医学、中西医结合、药学、特种医学、护理学、管理科学与工程、工商管理、公共管理、图书馆,情报与档案管理、天文学、土木工程、城乡规划学、医学技术、电子科学与技术、地球物理学、航空宇航科学与技术、控制科学与工程、系统科学、测绘科学与技术、船舶与海洋工程、艺术学理论、集成电路科学与工程","一级学科硕士学位授权点,专业,学科"
二级学科硕士学位授权点,体育学、艺术学、动力工程及工程热物理、电气工程,"二级学科硕士学位授权点,专业,学科"
博士专业学位授权点,临床医学博士、口腔医学博士、资源与环境博士、生物与医药博士、电子信息博士、材料与化工博士、能源动力博士,"博士专业学位授权点,专业,学科"
